pinyin,true_hanzi,true_sim,confused_hanzi,confused_sim
nian,年,0.969141,,
nian,年,0.968529,,
de,的,0.968307,,
nian,年,0.964894,,
de,的,0.964166,,
de,的,0.963141,,
nian,年,0.961286,,
nian,年,0.960506,,
nian,年,0.960199,,
nian,年,0.958755,,
nian,年,0.957453,,
nian,年,0.957378,,
nian,年,0.956566,,
nian,年,0.955040,,
nian,年,0.954268,,
de,的,0.954245,,
de,的,0.953688,,
de,的,0.953443,,
nian,年,0.953420,,
nian,年,0.952393,,
nian,年,0.951455,,
de,的,0.951239,,
nian,年,0.949649,,
de,的,0.949218,,
de,的,0.949091,,
nian,年,0.948252,,
de,的,0.948241,,
de,的,0.947422,,
nian,年,0.945974,,
zai,在,0.944961,,
de,的,0.944270,,
nian,年,0.944183,,
de,的,0.943894,,
shi,是,0.943835,,
de,的,0.941236,,
de,的,0.941082,,
de,的,0.940950,,
de,的,0.939845,,
de,的,0.939590,,
de,的,0.939314,,
de,的,0.939248,,
zai,在,0.937045,,
de,的,0.936605,,
he,和,0.934117,,
nian,年,0.932555,,
shi,是,0.931310,,
zai,在,0.931227,,
yue,月,0.929680,,
de,的,0.929209,,
shi,是,0.927658,,
zai,在,0.923236,,
zai,在,0.921356,,
yue,月,0.917604,,
shi,是,0.917171,,
yue,月,0.914521,,
zai,在,0.914486,,
zai,在,0.913882,,
yue,月,0.912295,,
le,了,0.911472,,
he,和,0.910886,,
zai,在,0.910466,,
de,的,0.905328,,
zai,在,0.904639,,
le,了,0.904552,,
le,了,0.903233,,
he,和,0.902302,,
he,和,0.894711,,
he,和,0.888407,,
zai,在,0.884383,,
le,了,0.877993,,
zai,在,0.876227,,
le,了,0.857484,,
he,和,0.856758,,
deng,等,0.848253,,
ri,日,0.844026,,
yue,月,0.817086,,
deng,等,0.802855,,
ye,也,0.799740,,
1,1,0.796856,,
5,5,0.791283,,
6,6,0.787270,,
6,6,0.784848,,
11,11,0.773704,,
jingzichan,净资产,0.762239,,
yi,以,0.761070,,
bing,并,0.760217,,
zhong,中,0.759701,,
yi,以,0.755807,,
yi,以,0.752923,,
bing,并,0.752505,,
6,6,0.750697,,
er,而,0.746480,,
zhong,中,0.739974,,
9,9,0.738853,,
8,8,0.738753,,
bing,并,0.737761,,
er,而,0.729757,,
er,而,0.728591,,
12,12,0.722001,,
er,而,0.721515,,
6,6,0.721064,,
2024,2024,0.717979,,
dui,对,0.713618,,
7,7,0.711375,,
zhong,中,0.708288,,
yu,于,0.707446,,
ye,也,0.700837,,
ji,及,0.699579,,
2024,2024,0.698443,,
2023,2023,0.698068,,
bei,被,0.690210,,
2024,2024,0.684868,,
544,544,0.683273,,
chengwei,成为,0.681952,,
ji,及,0.681852,,
2024,2024,0.680134,,
bei,被,0.677868,,
shang,上,0.676417,,
