pinyin,true_hanzi,true_sim,confused_hanzi,confused_sim
nian,年,0.969512,,
de,的,0.968744,,
nian,年,0.966921,,
nian,年,0.964517,,
nian,年,0.960179,,
nian,年,0.958028,,
nian,年,0.957016,,
nian,年,0.956422,,
nian,年,0.955185,,
nian,年,0.954696,,
nian,年,0.951888,,
nian,年,0.950942,,
nian,年,0.949731,,
de,的,0.949514,,
nian,年,0.949210,,
nian,年,0.948037,,
de,的,0.946960,,
nian,年,0.941797,,
nian,年,0.940771,,
nian,年,0.939637,,
shi,是,0.938051,,
nian,年,0.937346,,
de,的,0.935122,,
zai,在,0.933744,,
zai,在,0.929694,,
zai,在,0.926743,,
yue,月,0.926514,,
shi,是,0.925719,,
de,的,0.923675,,
de,的,0.921472,,
yue,月,0.921240,,
de,的,0.921162,,
yue,月,0.921052,,
yue,月,0.920180,,
yue,月,0.919786,,
yue,月,0.919023,,
yue,月,0.919023,,
nian,年,0.918465,,
yue,月,0.917795,,
zai,在,0.916432,,
shi,是,0.916416,,
shi,是,0.915840,,
de,的,0.915741,,
he,和,0.908551,,
zai,在,0.906973,,
he,和,0.905482,,
de,的,0.902167,,
le,了,0.901934,,
de,的,0.901096,,
he,和,0.898837,,
zai,在,0.893166,,
zai,在,0.887574,,
wei,为,0.885262,,
wei,为,0.880727,,
wei,为,0.880030,,
shi,是,0.878250,,
wei,为,0.869278,,
he,和,0.865478,,
le,了,0.855523,,
le,了,0.852172,,
ri,日,0.848433,,
shi,是,0.848070,,
yu,与,0.846709,,
wei,为,0.836097,,
zai,在,0.816648,,
fujianshengrenminzhengfu,福建省人民政府,0.805799,,
1,1,0.793331,,
6,6,0.787130,,
ye,也,0.783485,,
11,11,0.780873,,
11,11,0.774961,,
4,4,0.770453,,
3,3,0.769591,,
3,3,0.768859,,
10,10,0.767914,,
10,10,0.767419,,
deng,等,0.765876,,
er,而,0.763402,,
10,10,0.756987,,
9,9,0.756427,,
8,8,0.755092,,
ye,也,0.754071,,
bing,并,0.750138,,
dui,对,0.739545,,
10,10,0.736988,,
zhongguo,中国,0.736321,,
zhongguo,中国,0.734620,,
11,11,0.734049,,
bing,并,0.732845,,
yi,以,0.731190,,
bing,并,0.729419,,
shi,是,0.726598,,
6,6,0.722133,,
bing,并,0.719134,,
yu,于,0.718505,,
hou,后,0.715316,,
hou,后,0.708285,,
7,7,0.702390,,
12,12,0.696995,,
hecun,河村,0.693139,,
yananshi,延安市,0.681420,,
ji,及,0.669131,,
2023,2023,0.668622,,
kaishi,开始,0.666423,,
ji,及,0.662362,,
ji,及,0.660691,,
chengwei,成为,0.657952,,
ji,及,0.653986,,
lingdaohexin,领导核心,0.653955,,
qixin,齐心,0.639843,,
2007,2007,0.637760,,
3,3,0.634001,,
diqu,地区,0.632816,,
guojia,国家,0.626997,,
huagongxi,化工系,0.625997,,
ji,及,0.623420,,
zhengdingxian,正定县,0.616397,,
2012,2012,0.615018,,
15,15,0.610931,,
2012,2012,0.610359,,
guojia,国家,0.609384,,
chengwei,成为,0.607721,,
liuzhongquanhui,六中全会,0.605850,,
guojia,国家,0.605821,,
2013,2013,0.604107,,
ningde,宁德,0.602166,,
2013,2013,0.601924,,
zhongguogongchandang,中国共产党,0.600702,,
zhongguogongchandang,中国共产党,0.598409,,
guojia,国家,0.597854,,
2016,2016,0.596871,,
suo,所,0.596831,,
zhongguogongchandang,中国共产党,0.596502,,
2012,2012,0.596108,,
guojia,国家,0.593697,,
fuping,富平,0.587864,,
zhonggongshanghaishiwei,中共上海市委,0.586911,,
junweizhuxi,军委主席,0.583229,,
buji,部级,0.580678,,
guowuyuanbangongting,国务院办公厅,0.579457,,
pengliyuan,彭丽媛,0.577052,,
zhi,至,0.576531,之,0.577921
2017,2017,0.567612,,
jiang,将,0.567331,,
xizhongxun,习仲勋,0.564073,,
quanguo,全国,0.562719,,
junweizhuxi,军委主席,0.561311,,
dangzhibu,党支部,0.559955,,
chengli,成立,0.559886,,
2002,2002,0.559261,,
zhongguogongchandang,中国共产党,0.553281,,
zhi,至,0.547751,,
dengzhou,邓州,0.547540,登州,0.577585
zhi,至,0.545747,,
2018,2018,0.545627,,
huo,或,0.544090,,
1974,1974,0.544000,,
2017,2017,0.543182,,
zhengzhi,政治,0.543049,,
1969,1969,0.540115,,
zhonggongzhongyangshujichu,中共中央书记处,0.538466,,
zhi,至,0.537684,,
1999,1999,0.532466,,
zhonggongzhongyangdangxiao,中共中央党校,0.530810,,
zuowei,作为,0.530373,,
xianwei,县委,0.530311,,
jiaoyu,教育,0.529779,,
1985,1985,0.528449,,
lingling,玲玲,0.527025,,
dishierjie,第十二届,0.526211,,
qi,其,0.525349,,
qi,其,0.523915,,
zhonghuarenmingongheguo,中华人民共和国,0.523104,,
shisijie,十四届,0.519062,,
zhonghuarenmingongheguo,中华人民共和国,0.518224,,
2022,2022,0.517637,,
zhonggongzhongyang,中共中央,0.514258,,
yizhongquanhui,一中全会,0.514210,,
dishiwujie,第十五届,0.513497,,
beijing,北京,0.511044,,
zhonggongzhongyang,中共中央,0.510617,,
xiamenshi,厦门市,0.508010,,
1979,1979,0.506714,,
zhonghuarenmingongheguo,中华人民共和国,0.505508,,
zhonggongzhongyang,中共中央,0.505255,,
zhonghuarenmingongheguo,中华人民共和国,0.504849,,
zhonggongzhongyang,中共中央,0.504191,,
zhonghuarenmingongheguo,中华人民共和国,0.502936,,
lijing,离京,0.502711,离境,0.520982
zhonghuarenmingongheguo,中华人民共和国,0.501688,,
beijing,北京,0.500609,,
dishiliu,第十六,0.499632,,
zhonghuarenmingongheguo,中华人民共和国,0.499489,,
houbuweiyuan,候补委员,0.499394,,
beijing,北京,0.493244,,
zhonggong,中共,0.491216,,
zhishiqingnian,知识青年,0.490518,,
1953,1953,0.487224,,
zhonggong,中共,0.481829,,
zhonggong,中共,0.480378,,
zhonggong,中共,0.479414,,
kaiguoyuanxun,开国元勋,0.473705,,
zhonggong,中共,0.471484,,
quanguorenmindaibiaodahui,全国人民代表大会,0.469880,,
1975,1975,0.468766,,
huode,获得,0.468755,,
zhongyangjunwei,中央军委,0.468580,,
yuejing,月经,0.468050,,
1982,1982,0.467044,,
fuzhoushi,福州市,0.466884,,
nianren,年任,0.466468,,
bangongting,办公厅,0.465788,,
zhongyangjunwei,中央军委,0.465028,,
dangheguojia,党和国家,0.460533,,
liangjia,梁家,0.459719,,
fujiansheng,福建省,0.457987,,
zhuxi,主席,0.457840,,
liangjia,梁家,0.457657,,
zhongyangjunwei,中央军委,0.452529,,
zhuxi,主席,0.452057,,
rendadaibiao,人大代表,0.449031,,
zhuxi,主席,0.448843,,
dangheguojia,党和国家,0.448689,,
xin,新,0.446605,,
quanpiao,全票,0.443845,,
zhuxi,主席,0.443181,,
